entry,core_list_neg,core_list_pos,integrated_list_neg,integrated_list_pos,in_karta_slov,in_rusentilex,in_kfu,in_polsentilex,karta_slov_polarity,karta_slov_valence,"rusentilex_polarity
(""depends"" means this word has different valences in original RuSentiLex)",rusentilex_objectivity,score_kfu,average_rate_polsentilex,intensity_norm_polsentilex,polarity_polsentilex,is_generated_adverb_from_adjective,valence_consensus_between_4_lists
авианалет,1,,1,,1,1,1,0,negative,-0.76,negative,fact,0.419,,,,0,agree
авианосец,,,,,1,0,1,1,neutral,0.33,,,0.594,0,0,neutral,0,agree
авиаотряд,,,,,1,0,0,0,neutral,0.24,,,,,,,0,unique
авиапарк,,,,,1,0,0,0,neutral,0.33,,,,,,,0,unique
авиаперелет,,,,,1,0,0,0,neutral,0.03,,,,,,,0,unique
авиапочта,,,,,1,0,0,0,neutral,0.25,,,,,,,0,unique
авиапромышленность,,,,,1,0,0,0,neutral,0.29,,,,,,,0,unique
авиаразведка,,,,,1,0,0,0,neutral,0.03,,,,,,,0,unique
авиарейс,,,,,1,0,0,0,neutral,0.14,,,,,,,0,unique
авиасалон,,,,,1,0,0,0,neutral,0.24,,,,,,,0,unique
авиасоединение,,,,,1,0,0,0,neutral,0.26,,,,,,,0,unique
авиастроение,,,,,1,0,0,0,neutral,0.38,,,,,,,0,unique
авиастроительный,,,,,1,0,0,0,neutral,0.17,,,,,,,0,unique
авиатехник,,,,,1,0,0,0,neutral,0.22,,,,,,,0,unique
авиатор,,,,,1,0,0,0,neutral,0.18,,,,,,,0,unique
авиаторский,,,,,1,0,0,0,neutral,0.21,,,,,,,0,unique
авиатранспорт,,,,,1,0,0,0,neutral,0.31,,,,,,,0,unique
авиаудар,1,,1,,1,1,1,0,negative,-0.74,negative,fact,0.393,,,,0,agree
авиационный,,,,,1,0,1,1,neutral,0,,,0.595,0,0,neutral,0,agree
авиация,,,,,1,0,1,1,neutral,0.32,,,0.641,0,0,neutral,0,agree
авиачасть,,,,,1,0,0,0,neutral,0.22,,,,,,,0,unique
авиашкола,,,,,1,0,0,0,neutral,0.29,,,,,,,0,unique
авитаминоз,1,,1,,1,1,1,0,negative,-1,negative,fact,0.384,,,,0,agree
авитаминозный,1,,1,,1,1,1,0,negative,-0.91,negative,fact,0.403,,,,0,agree
авокадо,,,,,1,0,0,0,neutral,0.44,,,,,,,0,unique
авоська,,,,,1,0,1,0,neutral,0,,,0.595,,,,0,agree
аврора,,,,,1,0,0,0,neutral,0.48,,,,,,,0,unique
австралиец,,,,,1,0,0,1,neutral,0.09,,,,0,0,neutral,0,agree
австралийка,,,,,1,0,0,0,neutral,0.01,,,,,,,0,unique
австралийский,,,,,1,0,1,1,neutral,0.01,,,0.595,0,0,neutral,0,agree
австралопитек,,,,,1,0,0,0,neutral,0.26,,,,,,,0,unique
австриец,,,,,1,0,1,1,neutral,0.04,,,0.587,0,0,neutral,0,agree
австрийка,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
австрийский,,,,,1,0,1,1,neutral,0.1,,,0.568,0,0,neutral,0,agree
австро-венгерский,,,,,1,0,0,0,neutral,0.08,,,,,,,0,unique
авто,,,,,1,0,1,1,neutral,0.08,,,0.658,0,0,neutral,0,agree
автобаза,,,,,1,0,0,0,neutral,0.22,,,,,,,0,unique
автобан,,,,,1,0,0,0,neutral,-0.16,,,,,,,0,unique
автобиографический,,,,,1,0,1,1,neutral,0.1,,,0.639,0,0,neutral,0,agree
автобиографичность,,,,,1,0,0,0,neutral,0.08,,,,,,,0,unique
автобиография,,,,,1,0,1,0,neutral,0.24,,,0.713,,,,0,conflict
автобус,,,,,1,0,1,0,neutral,0.18,,,0.647,,,,0,agree
автобусик,,,,,1,0,0,0,positive,0.8,,,,,,,0,unique
автобусный,,,,,1,0,1,0,neutral,0,,,0.633,,,,0,agree
автовладелец,,,,,1,0,1,1,neutral,0.38,,,0.51,0,0,neutral,0,agree
автовокзал,,,,,1,0,0,0,neutral,0.03,,,,,,,0,unique
автогонка,,,,,1,0,0,0,neutral,0.08,,,,,,,0,unique
автогонки,,,,,1,0,0,0,neutral,0.35,,,,,,,0,unique
автогонщик,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
автограф,,,,,1,0,1,0,neutral,0.42,,,0.667,,,,0,agree
автодорога,,,,,1,0,1,1,neutral,0,,,0.644,0,0,neutral,0,agree
автодорожный,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
автодром,,,,,1,0,1,0,neutral,0.23,,,0.629,,,,0,agree
автозавод,,,,,1,0,1,0,neutral,0.13,,,0.587,,,,0,agree
актеришка,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
автозаправка,,,,,1,0,0,0,neutral,0.02,,,,,,,0,unique
автозаправочный,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
автоинспектор,,,,,1,0,0,0,neutral,0.17,,,,,,,0,unique
автоинспекция,,,,,1,0,0,0,neutral,0.18,,,,,,,0,unique
аморалка,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
автоклуб,,,,,1,0,0,0,neutral,0.16,,,,,,,0,unique
автоколонна,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
автокран,,,,,1,0,0,0,neutral,0.1,,,,,,,0,unique
автокресло,,,,,1,0,0,0,neutral,0.38,,,,,,,0,unique
автолавка,,,,,1,0,0,0,neutral,0.2,,,,,,,0,unique
автоледи,,,,,1,0,0,0,neutral,0.25,,,,,,,0,unique
автолюбитель,,,,,1,0,1,1,neutral,0.4,,,0.625,0,0,neutral,0,agree
автомагазин,,,,,1,0,0,0,neutral,0.21,,,,,,,0,unique
автомагистраль,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
автомагнитола,,,,,1,0,0,0,neutral,0.16,,,,,,,0,unique
автомастерская,,,,,1,0,0,0,neutral,0.04,,,,,,,0,unique
безликий,,,1,,1,1,1,1,neutral,-0.32,negative,opinion,0.562,0,0,neutral,0,conflict
автоматизация,,,,,1,0,1,0,neutral,0.47,,,0.62,,,,0,agree
автоматизировать,,,,,1,0,0,0,neutral,0.4,,,,,,,0,unique
автоматизм,,,,,1,0,0,0,neutral,0.08,,,,,,,0,unique
автоматика,,,,,1,0,1,0,neutral,0.47,,,0.654,,,,0,agree
автоматически,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
автоматический,,,,,1,0,1,1,neutral,0,,,0.577,0,0,neutral,0,agree
автоматный,,,,,1,0,1,0,neutral,0.1,,,0.519,,,,0,agree
автоматчик,,,,,1,0,1,1,neutral,-0.28,,,0.54,0,0,neutral,0,agree
автомашина,,,,,1,0,1,0,neutral,0.27,,,0.556,,,,0,agree
автомобилестроение,,,,,1,0,0,0,neutral,0.39,,,,,,,0,unique
автомобилестроительный,,,,,1,0,0,0,neutral,0.05,,,,,,,0,unique
автомобилизация,,,,,1,0,0,0,neutral,0.08,,,,,,,0,unique
автомобилист,,,,,1,0,1,1,neutral,0,,,0.582,0,0,neutral,0,agree
автомобиль,,,,,1,0,1,0,neutral,0.31,,,0.674,,,,0,agree
автомобильный,,,,,1,0,1,1,neutral,0.1,,,0.629,0,0,neutral,0,agree
автомобильчик,,,,,1,0,0,0,neutral,0.53,,,,,,,0,unique
автомойка,,,,,1,0,0,0,neutral,0.13,,,,,,,0,unique
автомоторный,,,,,1,0,0,0,neutral,0.1,,,,,,,0,unique
автономизация,,,,,1,0,0,0,neutral,0.29,,,,,,,0,unique
автономия,,,,,1,0,1,0,neutral,0.21,,,0.641,,,,0,agree
автономно,,,,,1,0,1,1,neutral,0,,,0.625,0,0,neutral,1,agree
автономность,,,,,1,0,0,0,neutral,0.37,,,,,,,0,unique
автономный,,,,,1,0,1,1,neutral,0,,,0.625,0,0,neutral,0,agree
автопарк,,,,,1,0,0,0,neutral,0.2,,,,,,,0,unique
автопилот,,,,,1,0,1,0,neutral,0.32,,,0.633,,,,0,agree
автопогрузчик,,,,,1,0,0,0,neutral,0.1,,,,,,,0,unique
автопоезд,,,,,1,0,0,0,neutral,0.03,,,,,,,0,unique
автопортрет,,,,,1,0,0,0,neutral,0.02,,,,,,,0,unique
автоприцеп,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
автопробег,,,,,1,0,0,0,neutral,0.22,,,,,,,0,unique
автопроизводитель,,,,,1,0,0,0,neutral,0.32,,,,,,,0,unique
автопром,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
автор,,,,,1,0,1,1,neutral,0.28,,,0.66,0,0,neutral,0,agree
авторемонтный,,,,,1,0,0,0,neutral,0.19,,,,,,,0,unique
автореферат,,,,,1,0,0,1,neutral,0.2,,,,0,0,neutral,0,agree
авторизация,,,,,1,0,0,0,neutral,0.05,,,,,,,0,unique
авторитаризм,1,,1,,1,1,1,0,negative,-0.57,negative,opinion,0.4,,,,0,agree
авторитарность,1,,1,,1,1,1,0,negative,-0.35,negative,opinion,0.443,,,,0,agree
авторитарный,1,,1,,1,1,1,0,negative,-0.39,negative,opinion,0.391,,,,0,agree
авторитет,,1,,1,1,1,1,1,positive,0.9,positive,opinion,0.623,0,0,neutral,0,conflict
авторитетно,,1,,1,1,1,1,1,positive,0.97,positive,opinion,0.739,1,0.5,positive,1,agree
авторитетность,,1,,1,1,1,1,0,positive,0.89,positive,opinion,0.741,,,,0,agree
авторитетный,,1,,1,1,1,1,1,positive,0.97,positive,opinion,0.739,1,0.5,positive,0,agree
авторский,,,,,1,0,1,0,neutral,0.4,,,0.655,,,,0,agree
авторство,,,,,1,0,1,0,positive,0.55,,,0.654,,,,0,conflict
авторучка,,,,,1,0,1,0,neutral,0.21,,,0.639,,,,0,agree
авторша,,,,,1,0,0,0,neutral,0.34,,,,,,,0,unique
авторынок,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
автосалон,,,,,1,0,1,0,neutral,0,,,0.543,,,,0,agree
автосервис,,,,,1,0,0,0,neutral,0.23,,,,,,,0,unique
автослесарь,,,,,1,0,0,0,neutral,0.08,,,,,,,0,unique
автоспорт,,,,,1,0,1,0,neutral,0.38,,,0.688,,,,0,agree
автостанция,,,,,1,0,0,0,neutral,0.14,,,,,,,0,unique
автостоп,,,,,1,0,0,0,neutral,0.06,,,,,,,0,unique
автостопщик,,,,,1,0,0,0,neutral,0.1,,,,,,,0,unique
автострада,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
автотранспорт,,,,,1,0,1,1,neutral,0.38,,,0.623,0,0,neutral,0,agree
автотранспортный,,,,,1,0,1,0,neutral,0.05,,,0.578,,,,0,agree
автотрасса,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
автоугон,1,,1,,1,1,1,0,negative,-1,negative,fact,0.377,,,,0,agree
автоугонщик,1,,1,,1,1,1,0,negative,-1,negative,fact,0.463,,,,0,agree
автофургон,,,,,1,0,0,0,neutral,0.03,,,,,,,0,unique
автохозяйство,,,,,1,0,0,0,neutral,0.23,,,,,,,0,unique
автоцентр,,,,,1,0,0,0,neutral,0.04,,,,,,,0,unique
автоцистерна,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
автошкола,,,,,1,0,0,1,neutral,0.3,,,,0,0,neutral,0,agree
агар-агар,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
агатовый,,,,,1,0,0,0,neutral,0.1,,,,,,,0,unique
агент,,,,,1,0,1,1,neutral,0.12,,,0.686,0,0,neutral,0,agree
агентка,,,,,1,0,0,0,neutral,0.16,,,,,,,0,unique
агентский,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
агентство,,,,,1,0,1,1,neutral,0.07,,,0.559,0,0,neutral,0,agree
агентша,,,,,1,0,0,0,neutral,0.04,,,,,,,0,unique
агитационный,,,,,1,0,0,1,neutral,0.39,,,,0,0,neutral,0,agree
агитация,,,,,1,0,1,0,neutral,-0.21,,,0.505,,,,0,agree
агитбригада,,,,,1,0,0,0,neutral,0.34,,,,,,,0,unique
агитировать,,,,,1,0,1,0,neutral,0.22,,,0.536,,,,0,agree
агнец,,,,,1,0,0,0,neutral,0.49,,,,,,,0,unique
агония,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.427,-1,-0.5,negative,0,agree
аграрный,,,,,1,0,1,1,neutral,0.21,,,0.641,0,0,neutral,0,agree
агрегат,,,,,1,0,1,0,neutral,0.09,,,0.586,,,,0,agree
агрессивно,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.35,-1,-0.5,negative,1,agree
агрессивность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.392,,,,0,agree
агрессивный,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.35,-1,-0.5,negative,0,agree
агрессия,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.331,-1,-0.5,negative,0,agree
агрессор,1,,1,,1,1,1,0,negative,-0.92,negative,opinion,0.35,,,,0,agree
агрокультура,,,,,1,0,0,0,neutral,0.3,,,,,,,0,unique
агроном,,,,,1,0,1,0,neutral,0.33,,,0.639,,,,0,agree
агрономический,,,,,1,0,0,0,neutral,0.03,,,,,,,0,unique
агрономия,,,,,1,0,0,0,neutral,0.43,,,,,,,0,unique
агротехнический,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
адаптационный,,1,,1,1,1,1,0,neutral,0.44,positive,opinion,0.765,,,,0,conflict
адаптация,,1,,1,1,1,1,0,positive,0.59,positive,opinion,0.715,,,,0,agree
адаптер,,,,,1,0,0,0,neutral,0.31,,,,,,,0,unique
адаптивность,,1,,1,1,1,1,0,positive,0.74,positive,opinion,0.788,,,,0,agree
адаптивный,,1,,1,1,1,1,0,positive,0.6,positive,opinion,0.793,,,,0,agree
адаптированность,,,,,1,0,0,0,positive,0.9,,,,,,,0,unique
адаптировать,,,,,1,0,1,0,positive,0.73,,,0.643,,,,0,conflict
адвокат,,,,,1,0,1,1,neutral,0.32,,,0.668,0,0,neutral,0,agree
адвокатский,,,,,1,0,1,1,neutral,0.03,,,0.624,0,0,neutral,0,agree
адвокатура,,,,,1,0,0,0,neutral,0.22,,,,,,,0,unique
адвокатша,,,,,1,0,0,0,neutral,0.21,,,,,,,0,unique
адекватно,,1,,1,1,1,1,1,positive,1,positive,opinion,0.78,1,0.5,positive,1,agree
адекватность,,1,,1,1,1,1,0,positive,0.9,positive,opinion,0.757,,,,0,agree
адекватный,,1,,1,1,1,1,1,positive,1,positive,opinion,0.78,1,0.5,positive,0,agree
адепт,,,,,1,0,1,0,neutral,0.22,,,0.657,,,,0,agree
аджика,,,,,1,0,0,0,neutral,0.31,,,,,,,0,unique
адидас,,,,,1,0,0,0,neutral,0.08,,,,,,,0,unique
админ,,,,,1,0,0,0,neutral,0.21,,,,,,,0,unique
второстепенный,,,1,,1,1,1,1,neutral,0,negative,opinion,0.559,0,0,neutral,0,conflict
вчерашний,,,,,1,1,1,1,neutral,0,negative,opinion,0.659,0,0,neutral,0,conflict
администратор,,,,,1,0,1,0,neutral,0.24,,,0.562,,,,0,agree
администраторский,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
администраторша,,,,,1,0,0,0,neutral,0.17,,,,,,,0,unique
гламурный,,,1,,1,1,1,1,neutral,0.38,negative,opinion,0.812,-1,-0.5,negative,0,conflict
администрирование,,,,,1,0,0,0,neutral,0.29,,,,,,,0,unique
адмирал,,,,,1,0,1,0,neutral,0.46,,,0.51,,,,0,agree
адмиралтейский,,,,,1,0,1,1,neutral,0.05,,,0.554,0,0,neutral,0,agree
адмиралтейство,,,,,1,0,1,0,neutral,0.22,,,0.57,,,,0,agree
адмиральский,,,,,1,0,0,0,neutral,0.34,,,,,,,0,unique
адмиральша,,,,,1,0,0,0,neutral,0.08,,,,,,,0,unique
адреналин,,,,,1,0,1,0,positive,0.57,,,0.691,,,,0,conflict
адреналиновый,,,,,1,0,0,0,neutral,0.32,,,,,,,0,unique
адрес,,,,,1,0,1,0,neutral,0,,,0.58,,,,0,agree
адресант,,,,,1,0,0,0,neutral,0.07,,,,,,,0,unique
адресат,,,,,1,0,1,0,neutral,0,,,0.58,,,,0,agree
адресация,,,,,1,0,0,0,neutral,0.1,,,,,,,0,unique
адресный,,,,,1,0,1,1,neutral,0,,,0.635,0,0,neutral,0,agree
адресовать,,,,,1,0,1,0,neutral,0,,,0.552,,,,0,agree
адресоваться,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
адресок,,,,,1,0,0,0,neutral,0.19,,,,,,,0,unique
антигуманизм,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
адский,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.471,,,,0,agree
адъютант,,,,,1,0,1,0,neutral,0.01,,,0.561,,,,0,agree
адъютантский,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
ажиотаж,1,,1,,1,1,1,0,neutral,0.19,negative,opinion,0.478,,,,0,conflict
ажиотажный,1,,1,,1,1,1,1,negative,-0.39,negative,fact,0.617,0,0,neutral,0,conflict
ажур,,,,,1,0,0,0,neutral,0.38,,,,,,,0,unique
ажурный,,,,,1,0,1,0,neutral,0.49,,,0.666,,,,0,agree
аз,,,,,1,0,1,0,neutral,0.4,,,0.678,,,,0,agree
азарт,,,,,1,0,1,0,neutral,-0.31,,,0.744,,,,0,conflict
взбеситься,,,1,,1,0,1,0,negative,-1,,,0.602,,,,0,conflict
влипнуть,,,1,,1,0,1,0,negative,-1,,,0.591,,,,0,conflict
азбука,,,,,1,0,1,0,neutral,0.5,,,0.692,,,,0,agree
азбучный,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
азиатка,,,,,1,0,0,0,neutral,0.02,,,,,,,0,unique
азимут,,,,,1,0,0,0,neutral,0.02,,,,,,,0,unique
азовский,,,,,1,0,0,1,neutral,0.1,,,,0,0,neutral,0,agree
азот,,,,,1,0,1,0,neutral,0,,,0.652,,,,0,agree
азотный,,,,,1,0,0,0,neutral,-0.13,,,,,,,0,unique
азотсодержащий,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
антисоветчик,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
аист,,,,,1,0,1,0,positive,0.55,,,0.693,,,,0,conflict
ай-кью,,,,,1,0,0,0,neutral,0.44,,,,,,,0,unique
айва,,,,,1,0,0,0,neutral,0.34,,,,,,,0,unique
айкидо,,,,,1,0,0,0,neutral,0.24,,,,,,,0,unique
айран,,,,,1,0,0,0,neutral,0.42,,,,,,,0,unique
айсберг,,,,,1,0,1,0,neutral,0,,,0.611,,,,0,agree
айтишник,,,,,1,0,0,0,neutral,0.09,,,,,,,0,unique
айфон,,,,,1,0,0,0,neutral,0.25,,,,,,,0,unique
академгородок,,,,,1,0,0,0,neutral,0.44,,,,,,,0,unique
академик,,,,,1,0,1,0,neutral,0.54,,,0.585,,,,0,agree
академически,,,,,1,0,0,0,neutral,0.29,,,,,,,0,unique
академический,,,,,1,0,1,0,neutral,0.36,,,0.689,,,,0,agree
академичность,,,,,1,0,0,0,neutral,0.52,,,,,,,0,unique
академия,,,,,1,0,1,1,neutral,0.53,,,0.723,0,0,neutral,0,conflict
акация,,,,,1,0,1,0,neutral,0.52,,,0.637,,,,0,agree
акваланг,,,,,1,0,0,0,neutral,0.39,,,,,,,0,unique
аквалангист,,,,,1,0,0,0,neutral,0.14,,,,,,,0,unique
аквамарин,,,,,1,0,0,0,neutral,0.26,,,,,,,0,unique
аквамариновый,,,,,1,0,0,0,neutral,0.22,,,,,,,0,unique
аквапарк,,,,,1,0,0,0,positive,0.78,,,,,,,0,unique
акварель,,,,,1,0,1,0,neutral,0.4,,,0.655,,,,0,agree
акварельный,,,,,1,0,0,0,neutral,0.36,,,,,,,0,unique
аквариум,,,,,1,0,1,0,neutral,0,,,0.694,,,,0,agree
аквариумист,,,,,1,0,0,0,neutral,0.04,,,,,,,0,unique
аквариумный,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
акватория,,,,,1,0,1,1,neutral,0,,,0.63,0,0,neutral,0,agree
акведук,,,,,1,0,0,0,neutral,0.23,,,,,,,0,unique
аккаунт,,,,,1,0,0,1,neutral,0.11,,,,0,0,neutral,0,agree
акклиматизация,,,,,1,0,0,0,neutral,0.32,,,,,,,0,unique
акклиматизироваться,,,,,1,0,0,0,positive,0.59,,,,,,,0,unique
аккомпанемент,,,,,1,0,1,0,neutral,0.16,,,0.605,,,,0,agree
